Tick, NumOfGoat, NumOfGrass 
1182, 38, 44
1183, 38, 44
1184, 39, 43
1185, 41, 47
1186, 41, 48
1187, 41, 51
1188, 42, 53
1189, 42, 55
1190, 42, 55
1191, 41, 51
1192, 41, 50
1193, 41, 50
1194, 40, 49
1195, 39, 50
1196, 39, 48
1197, 38, 46
1198, 37, 45
1199, 37, 42
1200, 37, 44
1201, 37, 48
1202, 37, 42
1203, 37, 42
1204, 37, 43
1205, 37, 44
1206, 38, 41
1207, 38, 42
1208, 38, 45
1209, 39, 44
1210, 39, 47
1211, 39, 43
1212, 39, 45
1213, 41, 47
1214, 42, 49
1215, 42, 49
1216, 42, 50
1217, 42, 48
1218, 42, 52
1219, 41, 50
1220, 41, 50
1221, 41, 48
1222, 42, 47
1223, 41, 44
1224, 41, 44
1225, 41, 45
1226, 41, 46
1227, 41, 46
1228, 42, 50
1229, 40, 47
1230, 41, 47
1231, 41, 48
1232, 40, 50
1233, 39, 49
1234, 39, 49
1235, 40, 48
1236, 39, 49
1237, 39, 50
1238, 38, 51
1239, 37, 50
1240, 37, 50
1241, 38, 51
1242, 38, 46
1243, 39, 46
1244, 40, 46
1245, 41, 48
1246, 42, 47
1247, 43, 46
1248, 43, 44
1249, 44, 44
1250, 45, 46
1251, 45, 46
1252, 45, 47
1253, 45, 44
1254, 44, 48
1255, 43, 50
1256, 43, 48
1257, 43, 48
1258, 43, 46
1259, 45, 44
1260, 43, 41
1261, 43, 40
1262, 43, 38
1263, 43, 41
1264, 45, 40
1265, 45, 41
1266, 45, 44
1267, 45, 43
1268, 46, 42
1269, 46, 42
1270, 46, 39
1271, 45, 41
1272, 45, 43
1273, 46, 41
1274, 46, 44
1275, 46, 45
1276, 46, 46
1277, 45, 46
1278, 45, 44
1279, 44, 43
1280, 45, 42
1281, 45, 41
1282, 44, 43
1283, 43, 44
1284, 41, 45
1285, 41, 44
1286, 41, 42
1287, 42, 37
1288, 42, 37
1289, 43, 34
1290, 42, 35
1291, 41, 41
1292, 40, 41
1293, 40, 44
1294, 40, 47
1295, 39, 45
1296, 40, 49
1297, 39, 47
1298, 39, 49
1299, 39, 51
1300, 39, 50
1301, 38, 52
1302, 38, 55
1303, 37, 53
1304, 36, 51
1305, 36, 51
1306, 37, 51
1307, 37, 50
1308, 37, 47
1309, 37, 49
1310, 37, 49
1311, 38, 48
1312, 40, 47
1313, 41, 44
1314, 42, 42
1315, 44, 45
1316, 43, 45
1317, 43, 45
1318, 44, 47
1319, 43, 46
1320, 43, 44
1321, 43, 48
1322, 43, 49
1323, 41, 49
1324, 41, 46
1325, 40, 45
1326, 40, 47
1327, 40, 44
1328, 39, 44
1329, 40, 39
1330, 42, 37
1331, 43, 38
1332, 43, 38
1333, 43, 38
1334, 43, 41
1335, 45, 41
1336, 46, 41
1337, 46, 38
1338, 46, 37
1339, 45, 40
1340, 47, 44
1341, 48, 46
1342, 48, 47
1343, 48, 45
1344, 50, 43
1345, 49, 40
1346, 50, 41
1347, 51, 38
1348, 51, 37
1349, 50, 39
1350, 48, 39
1351, 47, 39
1352, 47, 41
1353, 47, 43
1354, 47, 43
1355, 46, 40
1356, 46, 41
1357, 46, 41
1358, 46, 37
1359, 46, 39
1360, 47, 40
1361, 47, 42
1362, 48, 45
1363, 48, 43
1364, 49, 44
1365, 48, 44
1366, 48, 47
1367, 48, 47
1368, 49, 44
1369, 49, 43
1370, 48, 42
1371, 48, 43
1372, 48, 45
1373, 49, 46
1374, 47, 44
1375, 45, 46
1376, 45, 47
1377, 44, 46
1378, 45, 46
1379, 44, 44
1380, 44, 42
1381, 46, 42
1382, 45, 42
1383, 46, 40
1384, 47, 42
1385, 46, 43
1386, 45, 42
1387, 46, 41
1388, 45, 43
1389, 44, 44
1390, 44, 46
1391, 43, 44
1392, 43, 41
1393, 43, 40
1394, 42, 38
1395, 41, 37
1396, 41, 38
1397, 40, 41
1398, 39, 41
1399, 38, 40
1400, 39, 42
1401, 39, 40
1402, 39, 42
1403, 39, 43
1404, 39, 41
1405, 38, 43
1406, 37, 47
1407, 37, 45
1408, 37, 47
1409, 37, 45
1410, 36, 46
1411, 38, 48
1412, 38, 50
1413, 38, 50
1414, 38, 50
1415, 39, 49
1416, 40, 48
1417, 40, 48
1418, 40, 47
1419, 40, 40
1420, 40, 43
1421, 41, 44
1422, 41, 43
1423, 41, 42
1424, 43, 44
1425, 43, 47
1426, 41, 47
1427, 42, 45
1428, 41, 44
1429, 41, 42
1430, 41, 44
1431, 40, 44
1432, 40, 42
1433, 41, 42
1434, 40, 40
1435, 40, 42
1436, 41, 42
1437, 42, 43
1438, 42, 47
1439, 43, 48
1440, 43, 44
1441, 42, 42
1442, 42, 37
1443, 41, 40
1444, 42, 41
1445, 42, 39
1446, 40, 39
1447, 40, 39
1448, 40, 44
1449, 40, 45
1450, 40, 47
1451, 40, 48
1452, 40, 49
1453, 40, 49
1454, 41, 46
1455, 40, 46
1456, 39, 47
1457, 40, 46
1458, 40, 45
1459, 39, 46
1460, 39, 46
1461, 40, 45
1462, 39, 48
1463, 40, 49
1464, 41, 48
1465, 42, 49
1466, 42, 47
1467, 42, 47
1468, 42, 49
1469, 42, 48
1470, 42, 47
1471, 44, 47
1472, 45, 46
1473, 46, 45
1474, 46, 43
1475, 45, 44
1476, 46, 46
1477, 46, 46
1478, 46, 43
1479, 46, 41
1480, 46, 39
1481, 46, 37
1482, 46, 38
1483, 46, 36
1484, 46, 35
1485, 46, 38
1486, 46, 39
1487, 46, 38
1488, 46, 41
1489, 46, 42
1490, 46, 42
1491, 46, 44
1492, 46, 45
1493, 47, 42
1494, 46, 40
1495, 46, 39
1496, 45, 40
1497, 45, 43
1498, 46, 43
1499, 47, 43
1500, 47, 40
1501, 46, 41
1502, 45, 42
1503, 45, 46
1504, 44, 47
1505, 43, 47
1506, 44, 47
1507, 44, 46
1508, 44, 49
1509, 43, 50
1510, 43, 47
1511, 43, 49
1512, 43, 48
1513, 42, 44
1514, 42, 46
1515, 42, 48
1516, 42, 51
1517, 42, 50
1518, 40, 48
1519, 40, 49
1520, 40, 51
1521, 39, 52
1522, 39, 50
1523, 39, 52
1524, 39, 52
1525, 40, 50
1526, 40, 52
1527, 40, 51
1528, 40, 50
1529, 40, 51
1530, 40, 47
1531, 40, 45
1532, 38, 47
1533, 38, 44
1534, 38, 46
1535, 38, 48
1536, 38, 46
1537, 39, 46
1538, 39, 48
1539, 40, 47
1540, 40, 49
1541, 40, 50
1542, 40, 51
1543, 40, 52
1544, 40, 55
1545, 39, 57
1546, 39, 57
1547, 38, 55
1548, 39, 55
1549, 39, 55
1550, 39, 55
1551, 39, 56
1552, 41, 56
1553, 41, 54
1554, 41, 50
1555, 42, 48
1556, 43, 46
1557, 43, 49
1558, 43, 49
1559, 41, 51
1560, 41, 50
1561, 41, 46
1562, 41, 48
1563, 40, 48
1564, 40, 48
1565, 41, 44
1566, 40, 40
1567, 40, 42
1568, 42, 40
1569, 42, 43
1570, 43, 44
1571, 41, 48
1572, 41, 49
1573, 43, 48
1574, 44, 47
1575, 45, 41
1576, 45, 42
1577, 47, 42
1578, 46, 43
1579, 48, 43
1580, 49, 43
1581, 49, 44
1582, 50, 48
1583, 50, 46
1584, 50, 45
1585, 49, 43
1586, 49, 40
1587, 51, 39
1588, 50, 38
1589, 50, 36
1590, 51, 36
1591, 52, 38
1592, 52, 38
1593, 51, 38
1594, 51, 38
1595, 51, 39
1596, 51, 40
1597, 49, 40
1598, 49, 41
1599, 49, 38
1600, 48, 41
1601, 47, 43
1602, 46, 41
1603, 46, 43
1604, 47, 43
1605, 47, 44
1606, 47, 44
1607, 49, 47
1608, 51, 45
1609, 50, 46
1610, 49, 44
1611, 49, 42
1612, 49, 44
1613, 49, 44
1614, 49, 45
1615, 47, 42
1616, 46, 41
1617, 45, 38
1618, 45, 39
1619, 46, 41
1620, 46, 44
1621, 47, 49
1622, 47, 48
1623, 47, 48
1624, 47, 47
1625, 47, 45
1626, 47, 45
1627, 47, 47
1628, 46, 42
1629, 44, 41
1630, 44, 44
1631, 43, 45
1632, 43, 44
1633, 44, 44
1634, 43, 46
1635, 43, 49
1636, 42, 48
1637, 42, 47
1638, 42, 46
1639, 41, 43
1640, 40, 41
1641, 40, 43
1642, 40, 43
1643, 38, 46
1644, 37, 47
1645, 38, 46
1646, 38, 48
1647, 37, 45
1648, 37, 43
1649, 37, 46
1650, 37, 45
1651, 38, 43
1652, 38, 46
1653, 37, 46
